price,area,distance,schools
28.91,1044,2.01,3
18.26,928,3.81,2
31.84,1162,2.26,3
19.52,990,3.39,2
21.77,941,2.36,2
22.79,1006,2.09,3
18.62,990,3.39,2
30.85,1160,2.8,3
23.15,952,2.47,2
25.32,1036,3.22,2
21.41,941,2.36,2
19.64,916,3.15,2
23.23,978,1.55,2
29.77,1177,2.73,3
31.43,1094,2.24,3
34.48,1138,0.88,3
31.4,1162,2.26,3
18.05,928,3.81,2
24,1139,4.21,3
27.53,1084,1.47,2
23.03,952,2.47,2
26.84,1017,2.16,3
25.24,1149,2.38,3
23.27,952,2.47,2
25.98,1046,1.94,3
23.2,997,3.04,2
29.14,1066,1.93,3
31.43,1160,2.8,3
26.57,1149,2.38,3
25.4,1084,1.47,2
18.57,916,3.15,2
27.71,1046,1.94,3
21.01,950,2.45,2
25.79,1046,1.94,3
22.45,1030,4.33,3
23.71,1006,2.09,3
27.76,1066,1.93,3
21.18,967,3.64,2
20.1,950,2.45,2
28.64,1044,2.01,3
21.02,967,3.64,2
23.26,1033,3.21,3
21.44,950,2.45,2
28.93,1111,2.69,2
20.15,1030,4.33,3
26.72,1046,1.94,3
21.33,967,3.64,2
16.33,825,1.49,2
32.37,1162,2.26,3
20.85,950,2.45,2
30.29,1160,2.8,3
16.3,825,1.49,2
26.79,1084,1.47,2
27.6,1066,1.93,3
30.18,1044,2.01,3
20.28,1030,4.33,3
27.01,1046,1.94,3
23.31,997,3.04,2
28.58,1044,2.01,3
23.78,1036,3.22,2
19.79,990,3.39,2
20.39,990,3.39,2
26.48,1111,2.69,2
23.78,952,2.47,2
29.39,1177,2.73,3
26.19,1084,1.47,2
17.78,928,3.81,2
29.18,1177,2.73,3
29.63,1160,2.8,3
23.6,978,1.55,2
17.14,825,1.49,2
23.44,1030,4.33,3
24.16,1139,4.21,3
22.97,997,3.04,2
25.76,965,0.44,2
21.85,978,1.55,3
17.77,928,3.81,2
27.08,1028,2.23,3
19.66,990,3.39,2
25.1,1139,4.21,3
22.47,1006,2.09,3
29.82,1094,2.24,3
23.7,952,2.47,2
26.11,1111,2.69,2
27.73,1084,1.47,2
23.61,1006,2.09,3
20.68,967,3.64,2
21.52,967,3.64,2
28.68,1058,1.62,3
22.77,952,2.47,2
24.74,1036,3.22,2
26.39,965,0.44,2
35,1138,0.88,3
29.15,1066,1.93,3
29.13,1044,2.01,3
24.49,1033,3.21,3
23.84,1036,3.22,2
31.17,1044,2.01,3
17.25,928,3.81,2
27.8,1028,2.23,3
23.83,997,3.04,2
25.99,1017,2.16,3
28.46,1066,1.93,3
19.75,990,3.39,2
27.28,1111,2.69,2
23.6,997,3.04,2
28.59,1177,2.73,3
23.01,1006,2.09,3
20.18,950,2.45,2
22.79,1033,3.21,3
23.14,1036,3.22,2
27.35,965,0.44,2
24.81,1017,2.16,2
24.76,1033,3.21,3
30.86,1094,2.24,3
29.57,1058,1.62,3
20.91,978,1.55,2
17.6,825,1.49,2
34.1,1138,0.88,3
25.03,1033,3.21,3
24.93,1149,2.38,3
28.19,965,0.44,2
23.34,1006,2.09,3
25.47,965,0.44,2
21.49,941,2.36,2
26.22,1149,2.38,3
21.38,978,1.55,2
25.7,1033,3.21,3
28.92,1058,1.62,3
17.05,916,3.15,2
32.44,1162,2.26,3
35.05,1138,0.88,3
25.16,1017,2.16,2
31.56,1160,2.8,3
17.11,916,3.15,2
27.16,1084,1.47,2
30.46,1160,2.8,3
27.62,1066,1.93,3
21.66,941,2.36,2
17.08,825,1.49,2
30.27,1094,2.24,3
